district_no,year,avg_elevation,avg_soil_pawc,kreisYield,lon,lat,winter_temp_anomaly,winter_precip_anomaly,national_avg_yield_lag1,producer_price_index_lag1,forecast_yield,historical_avg_yield,forecast_deviation_pct,Tier
3254,2021,145.42,54.37,861.10,9.94,52.09,0.90,0.05,733.13,100.00,843.59,808.56,4.33,B: Standard
3255,2021,244.77,66.79,830.30,9.55,51.88,0.88,0.09,733.13,100.00,842.04,801.76,5.02,B: Standard
3256,2021,36.70,45.69,838.90,9.11,52.61,0.87,0.10,733.13,100.00,815.76,780.32,4.54,B: Standard
3257,2021,110.07,54.52,837.70,9.21,52.29,0.92,0.08,733.13,100.00,853.58,804.16,6.15,B: Standard
3351,2021,63.24,45.98,778.60,10.10,52.71,0.83,0.03,733.13,100.00,796.33,736.14,8.18,B: Standard
3353,2021,47.84,52.69,680.80,9.96,53.32,0.94,0.03,733.13,100.00,788.31,714.42,10.34,A: Opportunity
3354,2021,39.92,43.18,791.60,11.12,53.02,0.81,0.06,733.13,100.00,808.07,763.58,5.83,B: Standard
3355,2021,38.41,48.09,778.90,10.57,53.23,0.85,0.05,733.13,100.00,778.84,746.82,4.29,B: Standard
3357,2021,27.19,53.57,863.30,9.31,53.25,0.93,0.03,733.13,100.00,798.82,731.84,9.15,B: Standard
3358,2021,64.32,47.13,763.00,9.77,52.93,0.84,0.04,733.13,100.00,774.03,749.72,3.24,B: Standard
3359,2021,12.13,61.58,707.10,9.42,53.58,0.96,0.04,733.13,100.00,787.33,716.92,9.82,B: Standard
3360,2021,71.24,46.17,741.80,10.55,52.98,0.79,0.05,733.13,100.00,800.98,723.80,10.66,A: Opportunity
3361,2021,20.63,51.59,872.90,9.18,52.97,0.84,0.07,733.13,100.00,808.10,761.96,6.06,B: Standard
3453,2021,23.37,53.73,764.10,7.90,52.91,0.85,0.13,825.58,96.70,686.69,809.25,-15.14,C: Vulnerable
3454,2021,21.88,56.03,742.70,7.40,52.74,0.78,0.16,733.13,100.00,786.43,660.50,19.07,A: Opportunity
3459,2021,74.82,51.73,790.80,8.05,52.38,0.87,0.17,733.13,100.00,808.01,822.62,-1.78,B: Standard
5116,2021,67.47,41.94,836.10,6.41,51.17,0.87,0.14,733.13,100.00,837.25,775.35,7.98,B: Standard
5154,2021,25.56,43.20,847.10,6.26,51.65,0.77,0.19,733.13,100.00,826.07,777.60,6.23,B: Standard
5162,2021,52.37,42.42,931.50,6.65,51.14,0.86,0.14,733.13,100.00,851.98,829.40,2.72,B: Standard
5166,2021,48.99,41.12,856.20,6.33,51.28,0.85,0.14,726.79,90.00,775.45,807.05,-3.92,B: Standard
5334,2021,307.83,66.01,862.70,6.22,50.73,0.95,0.12,733.13,100.00,866.20,870.36,-0.48,B: Standard
5358,2021,172.02,51.24,848.80,6.45,50.82,0.93,0.15,733.13,100.00,840.78,763.32,10.15,A: Opportunity
5362,2021,87.40,46.73,938.60,6.72,50.90,0.89,0.14,733.13,100.00,840.15,834.86,0.63,B: Standard
5366,2021,400.86,62.32,795.00,6.64,50.54,0.92,0.14,733.13,100.00,796.08,687.66,15.77,A: Opportunity
5370,2021,72.57,43.14,844.90,6.16,51.05,0.88,0.13,733.13,100.00,848.36,813.76,4.25,B: Standard
5382,2021,171.65,57.85,904.50,7.23,50.76,0.86,0.08,733.13,100.00,803.43,691.92,16.12,A: Opportunity
5554,2021,52.38,41.99,879.20,6.90,51.96,0.80,0.18,733.13,100.00,784.45,693.16,13.17,A: Opportunity
5754,2021,91.19,48.82,645.30,8.35,51.93,0.88,0.12,733.13,100.00,789.67,648.60,21.75,A: Opportunity
5758,2021,108.56,55.58,855.50,8.64,52.17,0.89,0.12,733.13,100.00,872.62,834.20,4.61,B: Standard
5762,2021,230.28,61.27,819.40,9.18,51.68,0.79,0.10,733.13,100.00,832.01,821.14,1.32,B: Standard
5766,2021,195.06,67.58,846.50,8.95,51.98,0.90,0.09,733.13,100.00,849.85,789.10,7.70,B: Standard
5974,2021,184.85,63.28,864.50,8.22,51.56,0.86,0.06,733.13,100.00,857.43,848.26,1.08,B: Standard
6414,2021,209.49,52.73,903.30,8.26,50.08,0.64,0.17,679.53,109.90,758.06,903.30,-16.08,C: Vulnerable
6432,2021,189.48,51.89,800.90,8.80,49.86,0.69,0.08,733.13,100.00,830.28,757.92,9.55,B: Standard
6433,2021,92.41,43.40,833.80,8.47,49.90,0.63,0.15,733.13,100.00,824.27,789.40,4.42,B: Standard
6434,2021,376.41,58.19,923.80,8.50,50.28,0.69,0.20,733.13,100.00,848.25,806.98,5.11,B: Standard
6440,2021,218.26,50.51,930.00,8.91,50.35,0.59,0.14,733.13,100.00,842.87,809.46,4.13,B: Standard
6531,2021,240.54,50.48,866.70,8.81,50.57,0.65,0.19,733.13,100.00,837.44,797.62,4.99,B: Standard
6535,2021,381.62,56.02,821.00,9.27,50.64,0.61,0.10,726.79,90.00,727.12,757.20,-3.97,B: Standard
6633,2021,283.18,55.48,822.90,9.41,51.40,0.72,0.15,733.13,100.00,822.06,801.26,2.60,B: Standard
6634,2021,302.26,50.86,816.30,9.37,51.02,0.67,0.11,733.13,100.00,816.92,792.60,3.07,B: Standard
6636,2021,329.59,57.24,771.10,9.93,51.19,0.70,0.05,733.13,100.00,800.29,685.84,16.69,A: Opportunity
7137,2021,275.56,52.56,826.50,7.33,50.33,0.84,0.15,733.13,100.00,811.72,729.64,11.25,A: Opportunity
7331,2021,184.74,48.12,822.30,8.16,49.76,0.65,0.17,733.13,100.00,803.39,736.18,9.13,B: Standard
7332,2021,265.18,54.88,701.60,8.11,49.45,0.71,0.14,733.13,100.00,806.45,595.04,35.53,A: Opportunity
7333,2021,306.89,50.49,879.90,7.91,49.63,0.74,0.14,733.13,100.00,817.60,768.86,6.34,B: Standard
7334,2021,120.12,47.67,863.70,8.25,49.12,0.64,0.07,733.13,100.00,813.35,682.30,19.21,A: Opportunity
7337,2021,251.85,56.42,875.80,8.05,49.19,0.70,0.09,733.13,100.00,827.76,796.78,3.89,B: Standard
7339,2021,190.07,48.85,871.70,8.08,49.92,0.65,0.17,733.13,100.00,823.91,727.16,13.31,A: Opportunity
8111,2021,354.94,47.02,830.50,9.17,48.77,0.57,0.08,733.13,100.00,822.83,760.38,8.21,B: Standard
8118,2021,282.46,46.63,818.80,9.12,48.94,0.64,0.06,733.13,100.00,830.62,737.62,12.61,A: Opportunity
8125,2021,256.19,52.64,851.00,9.19,49.18,0.62,0.04,733.13,100.00,840.58,771.80,8.91,B: Standard
8126,2021,336.41,55.47,860.00,9.61,49.27,0.63,0.05,733.13,100.00,840.55,780.30,7.72,B: Standard
8128,2021,333.41,51.93,893.80,9.73,49.56,0.58,0.05,733.13,100.00,830.56,771.12,7.71,B: Standard
8215,2021,177.53,50.90,864.00,8.56,49.08,0.64,0.03,733.13,100.00,832.42,706.78,17.78,A: Opportunity
8225,2021,355.93,55.70,739.50,9.28,49.47,0.66,0.04,733.13,100.00,821.44,727.14,12.97,A: Opportunity
8226,2021,209.02,54.23,893.40,8.77,49.37,0.65,0.04,733.13,100.00,838.76,788.50,6.37,B: Standard
8425,2021,606.94,51.34,763.90,9.83,48.40,0.34,0.10,733.13,100.00,777.89,741.15,4.96,B: Standard
9176,2021,467.73,44.97,863.30,11.37,48.90,0.19,0.04,733.13,100.00,880.43,850.98,3.46,B: Standard
9177,2021,486.18,45.00,934.40,12.00,48.30,0.27,0.00,733.13,100.00,887.10,922.40,-3.83,B: Standard
9181,2021,627.77,49.03,776.80,10.95,48.02,0.52,0.06,733.13,100.00,826.77,893.68,-7.49,B: Standard
9185,2021,417.11,39.96,810.50,11.20,48.66,0.23,0.06,733.13,100.00,867.64,845.14,2.66,B: Standard
9186,2021,438.44,40.93,817.60,11.52,48.60,0.14,0.06,726.79,90.00,802.98,804.85,-0.23,B: Standard
9271,2021,407.29,50.91,996.70,13.00,48.78,0.56,-0.06,733.13,100.00,944.07,937.30,0.72,B: Standard
9273,2021,428.14,43.42,962.50,11.86,48.82,0.17,0.04,733.13,100.00,933.14,930.84,0.25,B: Standard
9274,2021,461.11,44.34,1019.50,12.20,48.56,0.24,0.01,733.13,100.00,904.39,923.74,-2.09,B: Standard
9277,2021,439.09,47.98,836.10,12.87,48.42,0.31,-0.02,733.13,100.00,825.02,755.04,9.27,B: Standard
9278,2021,427.04,45.09,967.10,12.58,48.90,0.39,0.00,733.13,100.00,955.21,942.74,1.32,B: Standard
9279,2021,406.17,44.83,920.80,12.61,48.64,0.31,-0.01,733.13,100.00,922.54,878.50,5.01,B: Standard
9375,2021,420.27,42.51,906.20,12.12,49.02,0.22,0.06,733.13,100.00,868.71,879.56,-1.23,B: Standard
9471,2021,354.51,46.40,605.70,10.88,49.89,0.32,0.03,733.13,100.00,720.75,617.98,16.63,A: Opportunity
9571,2021,449.62,44.65,832.50,10.47,49.25,0.55,0.03,733.13,100.00,769.23,698.62,10.11,A: Opportunity
9573,2021,355.13,39.86,848.30,10.85,49.45,0.33,0.06,733.13,100.00,739.56,675.02,9.56,B: Standard
9575,2021,356.62,44.30,910.70,10.46,49.57,0.51,0.05,733.13,100.00,826.29,793.18,4.17,B: Standard
9672,2021,378.59,54.51,859.80,9.96,50.22,0.43,0.08,733.13,100.00,784.59,679.74,15.42,A: Opportunity
9673,2021,399.65,52.04,754.80,10.26,50.37,0.49,0.09,733.13,100.00,777.02,703.76,10.41,A: Opportunity
9674,2021,328.90,46.22,763.30,10.61,50.06,0.40,0.05,733.13,100.00,770.62,715.20,7.75,B: Standard
9675,2021,278.49,45.37,848.00,10.26,49.75,0.44,0.07,733.13,100.00,801.86,727.94,10.15,A: Opportunity
9677,2021,310.77,56.04,877.50,9.66,49.99,0.44,0.04,733.13,100.00,811.21,786.20,3.18,B: Standard
9678,2021,289.29,46.60,811.80,10.26,50.02,0.41,0.09,733.13,100.00,787.12,690.56,13.98,A: Opportunity
9679,2021,295.33,49.79,894.70,9.93,49.74,0.46,0.05,733.13,100.00,854.54,793.74,7.66,B: Standard
9771,2021,488.84,41.31,897.50,11.05,48.43,0.34,0.07,733.13,100.00,906.63,949.38,-4.50,B: Standard
9772,2021,510.96,43.52,818.10,10.73,48.35,0.33,0.08,733.13,100.00,871.02,894.44,-2.62,B: Standard
9773,2021,454.60,41.18,857.10,10.53,48.60,0.37,0.07,733.13,100.00,896.81,893.74,0.34,B: Standard
9774,2021,506.25,43.54,886.30,10.38,48.35,0.33,0.09,733.13,100.00,880.90,949.92,-7.27,B: Standard
9775,2021,515.01,43.58,740.50,10.14,48.30,0.32,0.10,733.13,100.00,796.35,795.98,0.05,B: Standard
9779,2021,460.92,42.68,835.20,10.71,48.81,0.42,0.05,733.13,100.00,892.28,896.68,-0.49,B: Standard
12063,2021,34.28,35.82,688.60,12.63,52.62,0.77,-0.01,733.13,100.00,734.59,668.54,9.88,B: Standard
12070,2021,52.94,36.17,817.70,11.96,53.11,0.92,-0.01,733.13,100.00,731.92,713.04,2.65,B: Standard
12073,2021,54.76,35.82,709.40,13.86,53.21,0.79,-0.02,733.13,100.00,725.31,643.46,12.72,A: Opportunity
13071,2021,62.06,38.65,708.20,13.00,53.54,0.91,0.01,733.13,100.00,732.32,683.60,7.13,B: Standard
13072,2021,36.07,38.63,745.70,12.22,53.91,0.92,0.06,733.13,100.00,726.96,752.90,-3.44,B: Standard
13073,2021,14.74,43.14,903.70,12.99,54.28,0.87,0.01,733.13,100.00,794.16,806.68,-1.55,B: Standard
13074,2021,41.47,43.11,634.10,11.25,53.82,0.95,0.07,733.13,100.00,719.76,700.20,2.79,B: Standard
13075,2021,17.71,41.08,717.60,13.78,53.79,0.88,0.03,733.13,100.00,726.09,686.98,5.69,B: Standard
13076,2021,44.71,41.35,503.60,11.53,53.45,0.89,0.02,733.13,100.00,694.18,664.80,4.42,B: Standard
14522,2021,354.76,54.90,840.10,13.14,50.96,0.72,0.07,733.13,100.00,798.67,797.62,0.13,B: Standard
14524,2021,343.06,52.01,722.10,12.53,50.75,0.63,0.09,733.13,100.00,780.24,663.32,17.63,A: Opportunity
14625,2021,198.80,42.93,739.50,14.23,51.27,0.64,0.06,733.13,100.00,784.21,680.70,15.21,A: Opportunity
14626,2021,223.22,43.94,731.30,14.75,51.22,0.73,0.09,733.13,100.00,774.50,648.02,19.52,A: Opportunity
14627,2021,155.05,41.11,879.70,13.48,51.24,0.65,0.08,733.13,100.00,829.75,782.46,6.04,B: Standard
14713,2021,123.59,47.75,829.00,12.37,51.34,0.58,0.10,733.13,100.00,778.31,635.04,22.56,A: Opportunity
14729,2021,157.08,50.10,824.90,12.60,51.22,0.62,0.08,733.13,100.00,794.57,663.06,19.83,A: Opportunity
14730,2021,117.79,42.88,828.40,12.78,51.47,0.59,0.06,733.13,100.00,781.40,623.60,25.31,A: Opportunity
15003,2021,57.11,54.21,741.30,11.64,52.12,0.71,0.08,733.13,100.00,716.40,587.54,21.93,A: Opportunity
15081,2021,54.59,42.17,674.50,11.23,52.68,0.83,0.06,733.13,100.00,696.30,594.78,17.07,A: Opportunity
15082,2021,81.10,41.78,694.40,12.14,51.79,0.63,0.07,733.13,100.00,697.83,514.38,35.66,A: Opportunity
15083,2021,96.70,49.63,741.90,11.35,52.22,0.78,0.07,733.13,100.00,721.32,636.82,13.27,A: Opportunity
15084,2021,195.56,57.63,831.90,11.88,51.15,0.64,0.13,733.13,100.00,803.29,677.98,18.48,A: Opportunity
15085,2021,283.19,58.98,695.80,10.96,51.82,0.84,0.10,733.13,100.00,742.08,592.88,25.17,A: Opportunity
15086,2021,57.08,40.29,690.40,12.03,52.26,0.71,0.03,733.13,100.00,694.20,574.00,20.94,A: Opportunity
15087,2021,245.62,58.86,790.40,11.36,51.54,0.66,0.15,733.13,100.00,769.16,641.56,19.89,A: Opportunity
15088,2021,136.77,53.87,765.00,11.87,51.43,0.65,0.12,733.13,100.00,773.42,576.10,34.25,A: Opportunity
15089,2021,87.65,54.73,627.60,11.64,51.85,0.70,0.12,733.13,100.00,693.04,521.12,32.99,A: Opportunity
15090,2021,35.61,37.76,706.80,11.84,52.70,0.72,0.04,733.13,100.00,700.45,598.82,16.97,A: Opportunity
15091,2021,94.13,38.80,672.10,12.70,51.82,0.63,0.03,733.13,100.00,695.01,527.62,31.73,A: Opportunity
16051,2021,247.10,58.25,687.70,11.02,50.98,0.52,0.08,733.13,100.00,752.79,628.48,19.78,A: Opportunity
16052,2021,266.00,55.77,878.10,12.08,50.89,0.61,0.14,733.13,100.00,820.36,798.42,2.75,B: Standard
16061,2021,346.89,56.91,753.20,10.25,51.38,0.76,0.01,733.13,100.00,754.82,674.23,11.95,A: Opportunity
16062,2021,287.56,55.89,660.10,10.73,51.50,0.67,0.04,733.13,100.00,737.89,652.14,13.15,A: Opportunity
16063,2021,356.16,55.31,791.60,10.21,50.89,0.66,0.04,733.13,100.00,774.03,763.42,1.39,B: Standard
16064,2021,288.48,57.98,733.20,10.55,51.18,0.65,0.08,733.13,100.00,751.11,658.68,14.03,A: Opportunity
16065,2021,255.39,57.78,767.70,10.98,51.32,0.61,0.12,733.13,100.00,757.57,623.36,21.53,A: Opportunity
16067,2021,385.15,59.66,721.50,10.69,50.91,0.56,0.06,733.13,100.00,754.59,662.32,13.93,A: Opportunity
16068,2021,182.76,56.82,802.40,11.15,51.16,0.58,0.12,733.13,100.00,763.81,607.48,25.73,A: Opportunity
16070,2021,491.94,60.49,696.90,10.97,50.74,0.45,0.04,625.12,95.40,628.56,727.03,-13.54,C: Vulnerable
16071,2021,298.83,56.61,807.70,11.37,50.97,0.62,0.14,733.13,100.00,795.67,685.22,16.12,A: Opportunity
16074,2021,293.87,56.35,797.20,11.73,50.90,0.63,0.16,733.13,100.00,794.50,716.62,10.87,A: Opportunity
16075,2021,473.79,53.57,775.30,11.71,50.58,0.61,0.13,733.13,100.00,786.10,684.34,14.87,A: Opportunity
16076,2021,345.58,51.82,853.70,12.07,50.75,0.60,0.13,733.13,100.00,815.68,724.42,12.60,A: Opportunity
16077,2021,227.83,53.35,859.00,12.40,50.96,0.62,0.12,733.13,100.00,832.59,755.04,10.27,A: Opportunity
